fragment_id,image_path,full_image_path,pred_top,pred_bottom,pred_left,pred_right,pred_edge_piece,gt_top,gt_bottom,gt_left,gt_right,notes
OR15003_36R1_L [BLX4127],BLX4127/OR15003_36R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_36R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_36V1_L [BLX4127],BLX4127/OR15003_36V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_36V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_37R1_L [BLX4127],BLX4127/OR15003_37R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_37R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_37V1_L [BLX4127],BLX4127/OR15003_37V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_37V1_L [BLX4127].jpg,1,0,0,0,1,1,0,0,0,
OR15003_38R1_L [BLX4127],BLX4127/OR15003_38R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_38R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_38V1_L [BLX4127],BLX4127/OR15003_38V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_38V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_39V1_L [BLX4127],BLX4127/OR15003_39V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_39V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_40R1_L [BLX4127],BLX4127/OR15003_40R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_40R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_40V1_L [BLX4127],BLX4127/OR15003_40V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_40V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_41R1_L [BLX4127],BLX4127/OR15003_41R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_41R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_41V1_L [BLX4127],BLX4127/OR15003_41V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_41V1_L [BLX4127].jpg,0,0,0,0,0,1,0,0,0,
OR15003_42R1_L [BLX4127],BLX4127/OR15003_42R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_42R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_42V1_L [BLX4127],BLX4127/OR15003_42V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_42V1_L [BLX4127].jpg,1,0,0,0,1,0,0,0,0,
OR15003_47R1_L [BLX4127],BLX4127/OR15003_47R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_47R1_L [BLX4127].jpg,1,0,0,0,1,0,0,0,0,
OR15003_47V1_L [BLX4127],BLX4127/OR15003_47V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_47V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_48R1_L [BLX4127],BLX4127/OR15003_48R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_48R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_48V1_L [BLX4127],BLX4127/OR15003_48V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_48V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_49R1_L [BLX4127],BLX4127/OR15003_49R1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_49R1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_49V1_L [BLX4127],BLX4127/OR15003_49V1_L [BLX4127].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4127/OR15003_49V1_L [BLX4127].jpg,0,0,0,0,0,0,0,0,0,
OR15003_69R1_L [BLX4135],BLX4135/OR15003_69R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_69R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_69V1_L [BLX4135],BLX4135/OR15003_69V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_69V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_70R1_L [BLX4135],BLX4135/OR15003_70R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_70R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_70V1_L [BLX4135],BLX4135/OR15003_70V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_70V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_71ABR1_L [BLX4135],BLX4135/OR15003_71ABR1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_71ABR1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_71ABV1_L [BLX4135],BLX4135/OR15003_71ABV1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_71ABV1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_72ABR1_L [BLX4135],BLX4135/OR15003_72ABR1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_72ABR1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_72ABV1_L [BLX4135],BLX4135/OR15003_72ABV1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_72ABV1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_73V1_L [BLX4135],BLX4135/OR15003_73V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_73V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_74R1_L [BLX4135],BLX4135/OR15003_74R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_74R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,1,
OR15003_74V1_L [BLX4135],BLX4135/OR15003_74V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_74V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,1,
OR15003_75R1_L [BLX4135],BLX4135/OR15003_75R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_75R1_L [BLX4135].jpg,0,0,1,0,1,1,0,1,0,
OR15003_75V1_L [BLX4135],BLX4135/OR15003_75V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_75V1_L [BLX4135].jpg,0,0,0,0,0,0,0,1,0,
OR15003_76R1_L [BLX4135],BLX4135/OR15003_76R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_76R1_L [BLX4135].jpg,1,0,0,1,1,0,0,0,0,
OR15003_76V1_L [BLX4135],BLX4135/OR15003_76V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_76V1_L [BLX4135].jpg,1,0,0,0,1,0,0,0,0,
OR15003_77R1_L [BLX4135],BLX4135/OR15003_77R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_77R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_77V1_L [BLX4135],BLX4135/OR15003_77V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_77V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_78R1_L [BLX4135],BLX4135/OR15003_78R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_78R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_78V1_L [BLX4135],BLX4135/OR15003_78V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_78V1_L [BLX4135].jpg,1,0,0,0,1,0,0,0,0,
OR15003_79R1_L [BLX4135],BLX4135/OR15003_79R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_79R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_79V1_L [BLX4135],BLX4135/OR15003_79V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_79V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_80R1_L [BLX4135],BLX4135/OR15003_80R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_80R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_80V1_L [BLX4135],BLX4135/OR15003_80V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_80V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_81R1_L [BLX4135],BLX4135/OR15003_81R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_81R1_L [BLX4135].jpg,1,0,0,1,1,0,0,1,0,
OR15003_81V1_L [BLX4135],BLX4135/OR15003_81V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_81V1_L [BLX4135].jpg,0,0,0,0,0,0,0,1,0,
OR15003_82R1_L [BLX4135],BLX4135/OR15003_82R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_82R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_82V1_L [BLX4135],BLX4135/OR15003_82V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_82V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_85R1_L [BLX4135],BLX4135/OR15003_85R1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_85R1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15003_85V1_L [BLX4135],BLX4135/OR15003_85V1_L [BLX4135].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLX4135/OR15003_85V1_L [BLX4135].jpg,0,0,0,0,0,0,0,0,0,
OR15009_42A_L [BLL104],BLL104/OR15009_42A_L [BLL104].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLL104/OR15009_42A_L [BLL104].jpg,0,0,0,0,0,0,0,0,0,
OR15009_48B_L [BLL104],BLL104/OR15009_48B_L [BLL104].jpg,/Users/umarkhan/repos/school/sanskrit-cipher/src/web/web-canvas/data/BLL104/OR15009_48B_L [BLL104].jpg,1,0,0,0,1,1,1,0,0,
