image,ground_truth,predicted,error,abs_error,correct
IOLKHOTS46R1_10_L [BLL415].jpg,16,15,-1,1,False
IOLKHOTS46R1_11_L [BLL415].jpg,16,17,1,1,False
IOLKHOTS46R1_12_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_13_L [BLL415].jpg,16,18,2,2,False
IOLKHOTS46R1_14_L [BLL415].jpg,16,16,0,0,True
IOLKHOTS46R1_15_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_16_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_17_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_18_L [BLL415].jpg,16,14,-2,2,False
IOLKHOTS46R1_19_L [BLL415].jpg,16,18,2,2,False
IOLKHOTS46R1_20_L [BLL415].jpg,16,16,0,0,True
IOLKHOTS46R1_21_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_22_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_2_L [BLL415].jpg,8,9,1,1,False
IOLKHOTS46R1_3_L [BLL415].jpg,16,15,-1,1,False
IOLKHOTS46R1_4_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_5_L [BLL415].jpg,16,15,-1,1,False
IOLKHOTS46R1_6_L [BLL415].jpg,15,15,0,0,True
IOLKHOTS46R1_7_L [BLL415].jpg,17,17,0,0,True
IOLKHOTS46R1_8_L [BLL415].jpg,16,16,0,0,True
IOLKHOTS46R1_9_L [BLL415].jpg,16,17,1,1,False
IOLSAN1020B_L [BLL183].jpg,4,4,0,0,True
IOLSAN1132V_L [BLL85].jpg,3,4,1,1,False
IOLSAN1134R_L [BLL85].jpg,3,3,0,0,True
IOLSAN1137V_L [BLL85].jpg,3,3,0,0,True
IOLSAN1173B_L [BLL134].jpg,4,4,0,0,True
IOLSAN1182B_L [BLL134].jpg,6,6,0,0,True
IOLSAN1184A_L [BLL135].jpg,4,4,0,0,True
IOLSAN1201R_L [BLL139].jpg,6,6,0,0,True
IOLSAN1203R_L [BLL139].jpg,4,5,1,1,False
IOLSAN1203V_L [BLL139].jpg,4,4,0,0,True
IOLSAN125R_L [BLL54].jpg,2,2,0,0,True
IOLSAN126R_L [BLL54].jpg,3,3,0,0,True
IOLSAN126V_L [BLL54].jpg,3,3,0,0,True
IOLSAN132R_L [BLL54].jpg,4,4,0,0,True
IOLSAN132V_L [BLL54].jpg,4,5,1,1,False
IOLSAN142R_L [BLL55].jpg,5,5,0,0,True
IOLSAN143R_L [BLL55].jpg,4,4,0,0,True
IOLSAN143V_L [BLL55].jpg,4,4,0,0,True
IOLSAN1451B_L [BLL194].jpg,7,7,0,0,True
IOLSAN148V_L [BLL55].jpg,3,3,0,0,True
IOLSAN156R_L [BLL55].jpg,3,3,0,0,True
IOLSAN156V_L [BLL55].jpg,3,3,0,0,True
IOLSAN159V_L [BLL55].jpg,3,3,0,0,True
IOLSAN161R_L [BLL55].jpg,2,2,0,0,True
IOLSAN161V_L [BLL55].jpg,2,2,0,0,True
IOLSAN163R_L [BLL55].jpg,5,5,0,0,True
IOLSAN163V_L [BLL55].jpg,5,5,0,0,True
IOLSAN173R_L [BLL63].jpg,2,2,0,0,True
IOLSAN173V_L [BLL63].jpg,1,1,0,0,True
IOLSAN184R_L [BLL63].jpg,3,4,1,1,False
IOLSAN184V_L [BLL63].jpg,3,4,1,1,False
IOLSAN185R_L [BLL63].jpg,3,3,0,0,True
IOLSAN185V_L [BLL63].jpg,3,3,0,0,True
IOLSAN186R_L [BLL63].jpg,4,4,0,0,True
IOLSAN191R_L [BLL63].jpg,4,4,0,0,True
IOLSAN191V_L [BLL63].jpg,3,3,0,0,True
IOLSAN195R_L [BLL56].jpg,7,7,0,0,True
IOLSAN195V_L [BLL56].jpg,7,7,0,0,True
IOLSAN197R_L [BLL56].jpg,6,6,0,0,True
IOLSAN197V_L [BLL56].jpg,6,6,0,0,True
IOLSAN198R_L [BLL56].jpg,4,4,0,0,True
IOLSAN200V_L [BLL56].jpg,3,3,0,0,True
IOLSAN212V_L [BLL64].jpg,5,5,0,0,True
IOLSAN213R_L [BLL64].jpg,5,5,0,0,True
IOLSAN213V_L [BLL64].jpg,5,5,0,0,True
IOLSAN214R_L [BLL64].jpg,5,5,0,0,True
IOLSAN214V_L [BLL64].jpg,5,5,0,0,True
IOLSAN216R_L [BLL64].jpg,2,2,0,0,True
IOLSAN216V_L [BLL64].jpg,3,3,0,0,True
IOLSAN218R_L [BLL64].jpg,3,3,0,0,True
IOLSAN218V_L [BLL64].jpg,3,3,0,0,True
IOLSAN219R_L [BLL64].jpg,3,3,0,0,True
IOLSAN222V_L [BLL65].jpg,3,3,0,0,True
IOLSAN225R_L [BLL65].jpg,3,3,0,0,True
IOLSAN226V_L [BLL65].jpg,2,2,0,0,True
IOLSAN233R_L [BLL65].jpg,1,1,0,0,True
IOLSAN233V_L [BLL65].jpg,1,1,0,0,True
IOLSAN253R_L [BLL66].jpg,4,4,0,0,True
IOLSAN253V_L [BLL66].jpg,4,4,0,0,True
IOLSAN256R_L [BLL66].jpg,4,4,0,0,True
IOLSAN261R_L [BLL58].jpg,4,4,0,0,True
IOLSAN261V_L [BLL58].jpg,4,4,0,0,True
IOLSAN300V_L [BLL76].jpg,2,2,0,0,True
IOLSAN301R_L [BLL76].jpg,2,3,1,1,False
IOLSAN301V_L [BLL76].jpg,2,2,0,0,True
IOLSAN306R_L [BLL76].jpg,2,2,0,0,True
IOLSAN3166_R_L [BLL745].jpg,2,2,0,0,True
IOLSAN3174_R_L [BLL745].jpg,2,2,0,0,True
IOLSAN3174_V_L [BLL745].jpg,2,2,0,0,True
IOLSAN3175_R_L [BLL746].jpg,1,1,0,0,True
IOLSAN3175_V_L [BLL746].jpg,1,1,0,0,True
IOLSAN3181_R_L [BLL746].jpg,1,1,0,0,True
IOLSAN3181_V_L [BLL746].jpg,1,1,0,0,True
IOLSAN3183_R_L [BLL746].jpg,2,2,0,0,True
IOLSAN3183_V_L [BLL746].jpg,2,2,0,0,True
IOLSAN319V_L [BLL77].jpg,3,3,0,0,True
IOLSAN322R_L [BLL77].jpg,2,2,0,0,True
IOLSAN322V_L [BLL77].jpg,2,2,0,0,True
IOLSAN324R_L [BLL77].jpg,4,5,1,1,False
IOLSAN324V_L [BLL77].jpg,4,4,0,0,True
IOLSAN325R_L [BLL77].jpg,3,3,0,0,True
IOLSAN325V_L [BLL77].jpg,3,3,0,0,True
IOLSAN326R_L [BLL77].jpg,2,2,0,0,True
IOLSAN326V_L [BLL77].jpg,2,2,0,0,True
IOLSAN351V_L [BLL77].jpg,3,4,1,1,False
IOLSAN399B_L [BLL79].jpg,4,5,1,1,False
IOLSAN400A_L [BLL79].jpg,4,4,0,0,True
IOLSAN400B_L [BLL79].jpg,3,3,0,0,True
IOLSAN402A_L [BLL79].jpg,4,4,0,0,True
IOLSAN402B_L [BLL79].jpg,4,4,0,0,True
IOLSAN404B_L [BLL79].jpg,3,3,0,0,True
IOLSAN405A_L [BLL79].jpg,4,4,0,0,True
IOLSAN405B_L [BLL79].jpg,4,4,0,0,True
IOLSAN406A_L [BLL79].jpg,4,4,0,0,True
IOLSAN40R1_L [BLL51].jpg,10,10,0,0,True
IOLSAN40V1_L [BLL51].jpg,10,10,0,0,True
IOLSAN43R1_L [BLL51].jpg,6,6,0,0,True
IOLSAN43V1_L [BLL51].jpg,6,6,0,0,True
IOLSAN46R1_L [BLL63].jpg,3,3,0,0,True
IOLSAN516A_L [BLL79].jpg,10,10,0,0,True
IOLSAN516B_L [BLL79].jpg,10,10,0,0,True
IOLSAN589A_L [BLL80].jpg,4,5,1,1,False
IOLSAN589B_L [BLL80].jpg,3,3,0,0,True
IOLSAN594A_L 2 [BLL81].jpg,3,3,0,0,True
IOLSAN594A_L 3 [BLL81].jpg,3,3,0,0,True
IOLSAN594A_L [BLL81].jpg,3,3,0,0,True
IOLSAN594B_L 2 [BLL81].jpg,3,3,0,0,True
IOLSAN594B_L 3 [BLL81].jpg,3,3,0,0,True
IOLSAN594B_L [BLL81].jpg,3,3,0,0,True
IOLSAN603A_L [BLL81].jpg,2,1,-1,1,False
IOLSAN603B_L [BLL81].jpg,1,1,0,0,True
IOLSAN604A_L [BLL82].jpg,6,6,0,0,True
IOLSAN604B_L [BLL82].jpg,6,6,0,0,True
IOLSAN605A_L [BLL81].jpg,3,3,0,0,True
IOLSAN605A_L [BLL82].jpg,3,3,0,0,True
IOLSAN605B_L [BLL81].jpg,3,3,0,0,True
IOLSAN606B_L [BLL82].jpg,5,5,0,0,True
IOLSAN612B_L [BLL82].jpg,3,3,0,0,True
IOLSAN637A_L [BLL88].jpg,5,5,0,0,True
IOLSAN637B_L [BLL88].jpg,4,4,0,0,True
IOLSAN649A_L [BLL90].jpg,3,3,0,0,True
IOLSAN656A_L [BLL90].jpg,3,3,0,0,True
IOLSAN656B_L [BLL90].jpg,3,3,0,0,True
IOLSAN658A_L [BLL90].jpg,4,4,0,0,True
IOLSAN658B_L [BLL90].jpg,4,4,0,0,True
IOLSAN659B_L [BLL90].jpg,3,3,0,0,True
IOLSAN660A_L [BLL90].jpg,2,2,0,0,True
IOLSAN660B_L [BLL90].jpg,2,3,1,1,False
IOLSAN661A_L [BLL90].jpg,2,2,0,0,True
IOLSAN661B_L [BLL90].jpg,2,2,0,0,True
IOLSAN827B_L [BLL117].jpg,4,4,0,0,True
IOLSAN855A_L [BLL141].jpg,3,4,1,1,False
IOLSAN915R_L [BLL27].jpg,7,7,0,0,True
IOLSAN915V_L [BLL27].jpg,7,7,0,0,True
IOLSAN930B_L [BLL137].jpg,7,7,0,0,True
IOLSAN948B_L [BLL137].jpg,5,5,0,0,True
IOLSAN973B_L [BLL130].jpg,5,5,0,0,True
IOLSAN976A_L [BLL130].jpg,4,4,0,0,True
IOLSAN978B_L [BLL130].jpg,3,3,0,0,True
IOLSAN_3928_R_L [BLL848].jpg,11,17,6,6,False
IOLSAN_3928_V_L [BLL848].jpg,11,25,14,14,False
IOLSAN_3929_R_L [BLL848].jpg,11,19,8,8,False
IOLSAN_3929_V_L [BLL848].jpg,11,22,11,11,False
OR15000_555_1_A1_L [BLL387].jpg,7,7,0,0,True
OR15000_555_1_A2_L [BLL387].jpg,7,7,0,0,True
OR15000_555_1_A_ST_L [BLL387].jpg,7,7,0,0,True
OR15000_555_1_B1_L [BLL387].jpg,7,7,0,0,True
OR15000_555_1_B_ST_L [BLL387].jpg,7,8,1,1,False
OR15002_20R1_L [BLL16].jpg,4,4,0,0,True
OR15002_20V1_L [BLL16].jpg,4,4,0,0,True
OR15003_146R1_L [BLL2].jpg,3,3,0,0,True
OR15003_146V1_L [BLL2].jpg,2,2,0,0,True
OR15003_149R1_L [BLL2].jpg,3,3,0,0,True
OR15003_172V1_L [BLL3].jpg,3,3,0,0,True
OR15003_183R1_L [BLL3].jpg,3,3,0,0,True
OR15003_204V1_L [BLL6].jpg,2,2,0,0,True
OR15003_210R1_L [BLL6].jpg,4,4,0,0,True
OR15003_210V1_L [BLL6].jpg,4,4,0,0,True
OR15003_213R1_L [BLL6].jpg,3,3,0,0,True
OR15003_213V1_L [BLL6].jpg,3,3,0,0,True
OR15003_215R1_L [BLL6].jpg,3,3,0,0,True
OR15003_215V1_L [BLL6].jpg,3,3,0,0,True
OR15003_217R1_L [BLL6].jpg,3,3,0,0,True
OR15003_217V1_L [BLL6].jpg,3,3,0,0,True
OR15003_218R1_L [BLL6].jpg,3,3,0,0,True
OR15003_218V1_L [BLL6].jpg,3,3,0,0,True
OR15003_221R1_L [BLL6].jpg,5,5,0,0,True
OR15003_221V1_L [BLL6].jpg,5,5,0,0,True
OR15003_223R1_L [BLL7].jpg,4,4,0,0,True
OR15003_232V1_L [BLL7].jpg,3,3,0,0,True
OR15003_236R1_L [BLL7].jpg,3,3,0,0,True
OR15003_236V1_L [BLL7].jpg,3,3,0,0,True
OR15003_250V1_L [BLL8].jpg,3,3,0,0,True
OR15003_251R1_L [BLL8].jpg,2,2,0,0,True
OR15003_253R1_L [BLL8].jpg,2,2,0,0,True
OR15003_253V1_L [BLL8].jpg,2,3,1,1,False
OR15003_258R1_L [BLL8].jpg,3,3,0,0,True
OR15003_258V1_L [BLL8].jpg,3,3,0,0,True
OR15003_274R1_L [BLL9].jpg,4,4,0,0,True
OR15003_282R1_L [BLL9].jpg,5,5,0,0,True
OR15003_282V1_L [BLL9].jpg,5,5,0,0,True
